statecd,districtID,RepVote,DemVote,Winner,Total,Name
AK0,7,142566,114596,142566,0.042172539,Don Young
AL1,0,103758,48278,103758,0.584375848,Bradley Byrne
AL2,1,113103,54692,113103,0.60971515,Martha Roby
AL3,2,103558,52816,103558,0.574463291,Mike Rogers
AL4,3,132831,0,132831,0.585481715,Robert Aderholt
AL5,4,115338,0,115338,0.585469603,Mo Brooks
AL6,5,135945,42291,135945,0.524989022,Gary Palmer
AL7,6,0,133687,133687,0.644309731,Terri A. Sewell
AR1,17,124139,63555,124139,0.370999002,Rick Crawford
AR2,18,123073,103477,123073,0.295799141,French Hill
AR3,19,151630,0,151630,0.278627829,Steve Womack
AR4,20,110789,87742,110789,0.299615059,Bruce Westerman
AZ1,8,87723,97391,97391,0.801735274,Tom O'Halleran
AZ2,9,109704,109543,109704,0.853101561,Ann Kirkpatrick
AZ3,10,46185,58192,58192,0.834873643,Raul Grijalva
AZ4,11,122560,45179,122560,0.81990251,Paul A. Gosar
AZ5,12,124867,54596,124867,0.735306716,Andy Biggs
AZ6,13,129578,70198,129578,0.743939809,David Schweikert
AZ7,14,0,54235,54235,0.860114892,Ruben Gallego
AZ8,15,128710,0,128710,0.759727563,Debbie Lesko
AZ9,16,67841,88609,88609,0.823726978,Greg Stanton
CA1,21,132052,84320,132052,0.613663326,Doug LaMalfa
CA10,30,70582,55123,70582,0.453305407,Josh Harder
CA11,31,57160,117502,117502,0.503774669,Mark DeSaulnier
CA12,32,32197,160067,160067,0.593600001,Nancy Pelosi
CA13,33,21940,168491,168491,0.635731355,Barbara Lee
CA14,34,34757,114389,114389,0.472675303,Jackie Speier
CA15,35,43148,99756,99756,0.429770522,Eric Swalwell
CA16,36,44943,46277,46277,0.547940493,Jim Costa
CA17,37,0,69561,69561,0.42487213,Ro Khanna
CA18,38,63326,133060,133060,0.42255065,Anna G. Eshoo
CA19,39,0,85888,85888,0.477516669,Zoe Lofgren
CA2,22,54400,163124,163124,0.573719736,Jared Huffman
CA20,40,0,106034,106034,0.47603279,Jimmy Panetta
CA21,41,45907,33470,45907,0.505043152,TJ Cox
CA22,42,96053,37289,96053,0.470648068,Devin Nunes
CA23,43,100317,33726,100317,0.494285778,Kevin McCarthy
CA24,44,95566,103228,103228,0.504845651,Salud Carbajal
CA25,45,60847,0,60847,0.443989171,Katie Hill
CA26,46,82653,87176,87176,0.442406153,Julia Brownley
CA27,47,51852,75728,75728,0.510526443,Judy Chu
CA28,48,0,91996,91996,0.590572025,Adam Schiff
CA29,49,17045,50096,50096,0.604793277,Tony C‡rdenas
CA3,23,71036,79224,79224,0.518768435,John Garamendi
CA30,50,45315,86568,86568,0.499797566,Brad Sherman
CA31,51,48162,51622,51622,0.531412424,Pete Aguilar
CA32,52,34053,50353,50353,0.519478515,Grace Napolitano
CA33,53,74700,108331,108331,0.436458246,Ted Lieu
CA34,54,0,44697,44697,0.718504706,Jimmy Gomez
CA35,55,0,39502,39502,0.496539731,Norma Torres
CA36,56,61457,72682,72682,0.61746733,Raul Ruiz
CA37,57,18051,96787,96787,0.638049235,Karen Bass
CA38,58,40288,58192,58192,0.53264919,Linda S‡nchez
CA39,59,91319,41906,91319,0.430056557,Gilbert Ray Jr. Cisneros
CA4,24,126784,0,126784,0.434161666,Tom McClintock
CA40,60,0,30208,30208,0.680845952,Lucille Roybal-Allard
CA41,61,35936,46948,46948,0.482823864,Mark Takano
CA42,62,74540,38850,74540,0.39323503,Ken Calvert
CA43,63,28521,69681,69681,0.61871038,Maxine Waters
CA44,64,0,59670,59670,0.61496472,Nanette Barrag‡n
CA45,65,106083,56819,106083,0.393254328,Katie Porter
CA46,66,33577,49738,49738,0.558486541,J. Luis Correa
CA47,67,54309,69091,69091,0.575817495,Alan Lowenthal
CA48,68,112082,62713,112082,0.493411128,Harley Rouda
CA49,69,98161,64981,98161,0.466542919,Mike Levin
CA5,25,0,129613,129613,0.564880054,Mike Thompson
CA50,70,111997,45302,111997,0.520743789,Duncan D. Hunter
CA51,71,25577,56373,56373,0.646072395,Juan Vargas
CA52,72,92746,98826,98826,0.495013944,Scott Peters
CA53,73,60940,87104,87104,0.607254849,Susan Davis
CA6,26,36448,97008,97008,0.597840679,Doris O. Matsui
CA7,27,91066,92521,92521,0.49329092,Ami Bera
CA8,28,77480,37056,77480,0.563058383,Paul Cook
CA9,29,57729,63475,63475,0.465573907,Jerry McNerney
CO1,74,80682,183281,183281,0.722236569,Diana DeGette
CO2,75,149645,196300,196300,0.552229191,Joe Neguse
CO3,76,163011,100364,163011,0.630386094,Scott Tipton
CO4,77,185292,83727,185292,0.488663563,Ken Buck
CO5,78,157182,105673,157182,0.587208204,Doug Lamborn
CO6,79,143467,118847,143467,0.610104453,Jason Crow
CO7,80,120918,148225,148225,0.64820859,Ed Perlmutter
CT1,81,78520,135686,135686,0.658187109,John B. Larson
CT2,82,80842,141851,141851,0.568117689,Joe Courtney
CT3,83,69223,141197,141197,0.67714807,Rosa L. DeLauro
CT4,84,91928,106791,106791,0.542576573,Jim Himes
CT5,85,96625,112550,112550,0.609241869,Jahana Hayes
DE0,86,85146,137251,137251,0.564085204,Lisa Blunt Rochester
FL1,87,165086,54976,165086,0.583789923,Matt Gaetz
FL10,96,143128,89426,143128,0.615429529,Val Demings
FL11,97,181508,90786,181508,0.683784335,Daniel Webster
FL12,98,1,0,1,0.653597214,Gus M. Bilirakis
FL13,99,168172,0,168172,0.721191487,Charlie Crist
FL14,100,0,1,1,0.643628537,Kathy Castor
FL15,101,128750,84832,128750,0.575824605,Ross Spano
FL16,102,169126,105483,169126,0.632915559,Vern Buchanan
FL17,103,141493,82263,141493,0.662291239,W. Gregory Steube
FL18,104,101896,151478,151478,0.651752061,Brian Mast
FL19,105,159354,80824,159354,0.623209613,Francis Rooney
FL2,88,123262,126096,126096,0.612147097,Neal Dunn
FL20,106,28968,128498,128498,0.685646882,Alcee L. Hastings
FL21,107,0,153395,153395,0.655952883,Lois Frankel
FL22,108,90685,125404,125404,0.68601826,Ted Deutch
FL23,109,61519,103269,103269,0.633307098,Debbie Wasserman Schultz
FL24,110,15239,129192,129192,0.779518846,Frederica Wilson
FL25,111,1,0,1,0.649831463,Mario Diaz-Balart
FL26,112,83031,78306,83031,0.607860601,Debbie Mucarsel-Powell
FL27,113,1,0,1,0.69451315,Donna E. Shalala
FL3,89,148691,73910,148691,0.626267921,Ted Yoho
FL4,90,177887,0,177887,0.568622919,John Rutherford
FL5,91,59237,112340,112340,0.647092425,Al Lawson
FL6,92,166254,99563,166254,0.670385366,Michael Waltz
FL7,93,144474,73011,144474,0.593572362,Stephanie Murphy
FL8,94,180728,93724,180728,0.618447461,Bill Posey
FL9,95,74963,93850,93850,0.593192141,Darren Soto
GA1,114,95337,61175,95337,0.652677084,Buddy Carter
GA10,123,130703,65777,130703,0.59479361,Jody Hice
GA11,124,161532,0,161532,0.562689566,Barry Loudermilk
GA12,125,91336,75478,91336,0.680226417,Rick Allen
GA13,126,0,159445,159445,0.648799145,David Scott
GA14,127,118782,0,118782,0.626637041,Tom Graves
GA2,115,66537,96363,96363,0.700298347,Sanford D. Bishop Jr.
GA3,116,156277,0,156277,0.626511102,A. Drew Ferguson
GA4,117,0,161211,161211,0.642908937,"Henry C. ""Hank"" Jr. Johnson"
GA5,118,0,170326,170326,0.730364253,John Lewis
GA6,119,139018,71486,139018,0.540810745,Lucy McBath
GA7,120,113557,60112,113557,0.513532175,Robert Woodall
GA8,121,129938,0,129938,0.677042665,Austin Scott
GA9,122,146059,34988,146059,0.61788115,Doug Collins
HI1,128,86454,93390,93390,0.181854858,Ed Case
HI2,129,33630,142010,142010,0.176339124,Tulsi Gabbard
IA1,159,147762,141145,147762,0.526209478,Abby Finkenauer
IA2,160,129455,143431,143431,0.569198975,David Loebsack
IA3,161,148814,119109,148814,0.55649961,Cynthia Axne
IA4,162,169834,105504,169834,0.538296513,Steve King
ID1,130,143580,77277,143580,0.640436502,Russ Fulcher
ID2,131,131492,82801,131492,0.626687818,Mike Simpson
IL1,132,59749,162268,162268,0.667121526,Bobby L. Rush
IL10,141,95992,91136,95992,0.551815232,Bradley Schneider
IL11,142,81335,93436,93436,0.565363063,Bill Foster
IL12,143,110038,87860,110038,0.65028558,Mike Bost
IL13,144,123337,86935,123337,0.63199994,Rodney Davis
IL14,145,145369,76861,145369,0.493109989,Lauren Underwood
IL15,146,166274,55652,166274,0.609409959,John Shimkus
IL16,147,153388,63810,153388,0.621109791,Adam Kinzinger
IL17,148,88785,110560,110560,0.679967231,Cheri Bustos
IL18,149,184363,62377,184363,0.609599355,Darin LaHood
IL2,133,43799,160337,160337,0.707752648,Robin Kelly
IL3,134,64091,116764,116764,0.6359192,Daniel Lipinski
IL4,135,22278,79666,79666,0.682500347,"Jesí_s ""Chuy"" Garcí_a"
IL5,136,56350,116364,116364,0.630408345,Mike Quigley
IL6,137,160287,78465,160287,0.556187102,Sean Casten
IL7,138,27168,155110,155110,0.70716581,Danny K. Davis
IL8,139,66878,84178,84178,0.628058596,Raja Krishnamoorthi
IL9,140,72384,141000,141000,0.676923651,Jan Schakowsky
IN1,150,51000,86579,86579,0.713066474,Peter Visclosky
IN2,151,85583,55590,85583,0.662546779,Jackie Walorski
IN3,152,97892,39771,97892,0.658945648,Jim Banks
IN4,153,94998,47056,94998,0.597233147,James Baird
IN5,154,105277,49756,105277,0.571603948,Susan W. Brooks
IN6,155,102187,45509,102187,0.601701842,Greg Pence
IN7,156,46887,61443,61443,0.713420665,Andrí© Carson
IN8,157,103344,61384,103344,0.655233267,Larry Bucshon
IN9,158,101594,55016,101594,0.605645538,Trey Hollingsworth
KS1,163,138764,65397,138764,0.476637843,Roger Marshall
KS2,164,128742,87153,128742,0.456684133,Steve Watkins
KS3,165,134493,89584,134493,0.388837038,Sharice Davids
KS4,166,138757,69396,138757,0.460380798,Ron Estes
KY1,167,173022,63596,173022,0.711150846,James Comer
KY2,168,156936,69898,156936,0.67170181,S. Brett Guthrie
KY3,169,87981,157056,157056,0.742496248,John A. Yarmuth
KY4,170,150464,71694,150464,0.631369186,Thomas Massie
KY5,171,171350,47617,171350,0.790577208,Harold Rogers
KY6,172,147404,98290,147404,0.701026035,Andy Barr
LA1,173,189250,46047,189250,0.211845477,Steve Scalise
LA2,174,0,152201,152201,0.289480931,Cedric Richmond
LA3,175,185867,0,185867,0.207222279,Clay Higgins
LA4,176,152683,0,152683,0.219019668,Mike Johnson
LA5,177,168084,67611,168084,0.27914023,Ralph Abraham
LA6,178,165706,89212,165706,0.198704057,Garret Graves
MA1,189,0,167612,167612,0.688753938,Richard E. Neal
MA2,190,0,169640,169640,0.649761887,James McGovern
MA3,191,81638,139104,139104,0.603094696,Lori Trahan
MA4,192,0,184158,184158,0.571853696,Joseph P. Kennedy III
MA5,193,0,182100,182100,0.633192132,Katherine Clark
MA6,194,111989,149638,149638,0.646254437,Seth Moulton
MA7,195,0,142133,142133,0.789735331,Ayanna Pressley
MA8,196,0,200644,200644,0.666508596,Stephen F. Lynch
MA9,197,114971,140413,140413,0.667641518,William Keating
MD1,181,176342,73843,176342,0.491716333,Andy Harris
MD2,182,70411,120412,120412,0.638870922,C. A. Dutch Ruppersberger
MD3,183,87029,128594,128594,0.595002865,John P. Sarbanes
MD4,184,54217,134628,134628,0.592467664,Anthony Brown
MD5,185,80752,144725,144725,0.474596455,Steny H. Hoyer
MD6,186,91930,94704,94704,0.535727184,David Trone
MD7,187,55860,144639,144639,0.62020983,Elijah Cummings
MD8,188,87859,136722,136722,0.489480257,Jamie Raskin
ME1,179,94751,186674,186674,0.48501802,Chellie Pingree
ME2,180,133320,118568,133320,0.554010069,Jared Golden
MI1,198,130414,113263,130414,0.658599093,Jack Bergman
MI10,207,157069,67143,157069,0.544274777,Paul Mitchell
MI11,208,140435,101681,140435,0.516405635,Haley Stevens
MI12,209,64716,134346,134346,0.607842841,Debbie Dingell
MI13,210,27234,132710,132710,0.773088818,Rashida Tlaib
MI14,211,41801,165272,165272,0.693047861,Brenda Lawrence
MI2,199,135568,70851,135568,0.613028738,Bill Huizenga
MI3,200,125754,84720,125754,0.578754789,Justin Amash
MI4,201,123962,85777,123962,0.596197884,John Moolenaar
MI5,202,69222,148182,148182,0.631177113,Daniel Kildee
MI6,203,116801,84391,116801,0.5988141,Fred Upton
MI7,204,119564,92083,119564,0.548760614,Tim Walberg
MI8,205,132739,102269,132739,0.496650408,Elissa Slotkin
MI9,206,81470,136342,136342,0.651392142,Andy Levin
MN1,212,103536,122851,122851,0.515667539,Jim Hagedorn
MN2,213,137778,95565,137778,0.472582115,Angie Craig
MN3,214,167515,101846,167515,0.529771368,Dean Phillips
MN4,215,79492,147857,147857,0.616053828,Betty McCollum
MN5,216,56577,167079,167079,0.706711041,Ilhan Omar
MN6,217,133328,90926,133328,0.44495455,Tom Emmer
MN7,218,109955,130546,130546,0.45003714,Collin C. Peterson
MN8,219,125358,129090,129090,0.557635169,Pete Stauber
MO1,224,35273,119315,119315,0.723727529,"William ""Lacy"" Clay Jr."
MO2,225,148191,75384,148191,0.519598045,Ann Wagner
MO3,226,130940,52021,130940,0.541443784,Blaine Luetkemeyer
MO4,227,120014,46464,120014,0.588497058,Vicky Hartzler
MO5,228,69071,79256,79256,0.584979357,Emanuel Cleaver
MO6,229,124616,55157,124616,0.546250109,Sam Graves
MO7,230,104054,47282,104054,0.594303539,Billy Long
MO8,231,106124,38721,106124,0.6236502,Jason Smith
MS1,220,102622,43713,102622,0.592430098,Trent Kelly
MS2,221,0,100688,100688,0.64283118,Bennie G. Thompson
MS3,222,117771,47744,117771,0.5656119,Michael Guest
MS4,223,108776,37869,108776,0.537810065,Steven Palazzo
MT0,232,203871,148690,203871,0.297014383,Greg Gianforte
NC1,284,55990,154333,154333,0.737022574,G.K. Butterfield
NC10,293,133504,85292,133504,0.771862458,Patrick T. McHenry
NC11,294,144682,85342,144682,0.790272162,Mark Meadows
NC12,295,42568,130096,130096,0.715807255,Alma Adams
NC13,296,153991,114718,153991,0.734331778,Ted Budd
NC2,285,122128,85479,122128,0.651609197,George Holding
NC3,286,139415,66182,139415,0.751314957,Walter B. [ Passed ] Jones
NC4,287,57416,169946,169946,0.664662251,David Price
NC5,288,139279,88973,139279,0.745947682,Virginia Foxx
NC6,289,147312,103758,147312,0.712272459,Mark Walker
NC7,290,134431,84054,134431,0.77149631,David Rouzer
NC8,291,121568,65854,121568,0.749645278,Richard Hudson
NC9,292,163080,0,163080,0.692142839, [ Vacant ]
ND0,297,138100,95678,138100,0.121339615,Kelly Armstrong
NE1,233,123219,55838,123219,0.547241943,Jeff Fortenberry
NE2,234,78157,83872,83872,0.540521843,Don Bacon
NE3,235,139440,45524,139440,0.532045892,Adrian Smith
NH1,240,125508,116769,125508,0.550625366,Chris Pappas
NH2,241,106857,130679,130679,0.549541693,Ann Kuster
NJ1,242,64073,93315,93315,0.383688745,Donald Norcross
NJ10,251,14154,95734,95734,0.594977359,Donald Payne Jr.
NJ11,252,109455,65477,109455,0.304203307,Mikie Sherrill
NJ12,253,54168,90430,90430,0.34091413,Bonnie Watson Coleman
NJ2,243,108875,66026,108875,0.345594502,Jefferson Van Drew
NJ3,244,100471,82537,100471,0.392537332,Andy Kim
NJ4,245,118826,54415,118826,0.381525977,Chris Smith
NJ5,246,104678,81808,104678,0.354139435,Josh Gottheimer
NJ6,247,46891,72190,72190,0.406619748,Frank Pallone Jr.
NJ7,248,104287,68232,104287,0.305933081,Tom Malinowski
NJ8,249,15141,61510,61510,0.607521473,Albio Sires
NJ9,250,36246,82498,82498,0.543439288,Bill Pascrell Jr.
NM1,254,74558,105474,105474,0.621549645,Debra Haaland
NM2,255,95209,52499,95209,0.584647436,Xochitl Torres Small
NM3,256,70775,113249,113249,0.571782887,Ben R. Luj‡n
NV1,236,30413,45643,45643,0.886988578,Dina Titus
NV2,237,122402,52016,122402,0.793756752,Mark Amodei
NV3,238,88528,52644,88528,0.783587275,Susie Lee
NV4,239,63466,59844,63466,0.807427635,Steven Horsford
NY1,257,94035,78722,94035,0.335508739,Lee Zeldin
NY10,266,0,89080,89080,0.640841807,Jerrold Nadler
NY11,267,58886,45244,58886,0.684137094,Max Rose
NY12,268,22731,90603,90603,0.664627232,Carolyn Maloney
NY13,269,0,68396,68396,0.819429951,Adriano Espaillat
NY14,270,0,50352,50352,0.746659798,Alexandria Ocasio-Cortez
NY15,271,0,51665,51665,0.88007447,Josí© E. Serrano
NY16,272,0,99658,99658,0.604137705,Eliot Engel
NY17,273,75781,98158,98158,0.419360465,Nita Lowey
NY18,274,85660,88993,88993,0.45747679,Sean Patrick Maloney
NY19,275,131594,72470,131594,0.565671547,Antonio Delgado
NY2,258,95177,41814,95177,0.317700076,Pete King
NY20,276,79104,125111,125111,0.622263295,Paul D. Tonko
NY21,277,96226,59063,96226,0.613612359,Elise Stefanik
NY22,278,129851,0,129851,0.631317176,Anthony Brindisi
NY23,279,113130,70242,113130,0.680004681,Tom Reed
NY24,280,118474,80304,118474,0.633289928,John Katko
NY25,281,95932,96803,96803,0.660469074,Joseph Morelle
NY26,282,52909,113210,113210,0.711224388,Brian Higgins
NY27,283,144675,58911,144675,0.575897126,Chris Collins
NY3,259,74269,90032,90032,0.319430882,Thomas Suozzi
NY4,260,80127,89793,89793,0.337869802,Kathleen Rice
NY5,261,0,72454,72454,0.562843651,Gregory W. Meeks
NY6,262,0,55368,55368,0.70500592,Grace Meng
NY7,263,5713,56593,56593,0.790163152,Nydia M. Vel‡zquez
NY8,264,0,77255,77255,0.794491943,Hakeem Jeffries
NY9,265,0,82659,82659,0.808759664,Yvette D. Clarke
OH1,298,124779,72604,124779,0.625134164,Steve Chabot
OH10,307,130752,63249,130752,0.669272162,Michael Turner
OH11,308,35461,137105,137105,0.754014569,Marcia L. Fudge
OH12,309,150573,61360,150573,0.571395115,Troy Balderson
OH13,310,55233,120230,120230,0.710570602,Tim Ryan
OH14,311,135736,70856,135736,0.598175863,David Joyce
OH15,312,128496,66125,128496,0.622764041,Steve Stivers
OH16,313,132176,75199,132176,0.608679772,Anthony Gonzalez
OH2,299,132658,68453,132658,0.649491576,Brad Wenstrup
OH3,300,51475,91769,91769,0.692725401,Joyce Beatty
OH4,301,125907,60165,125907,0.612925933,Jim Jordan
OH5,302,134449,58507,134449,0.613206043,Robert E. Latta
OH6,303,111026,73561,111026,0.649961429,Bill Johnson
OH7,304,143959,0,143959,0.618856427,Bob Gibbs
OH8,305,126539,51534,126539,0.597102279,Warren Davidson
OH9,306,51704,108870,108870,0.732372861,Marcy Kaptur
OK1,314,1,0,1,0.281048907,Kevin Hern
OK2,315,110925,38964,110925,0.305517784,Markwayne Mullin
OK3,316,133335,36270,133335,0.247865084,Frank Lucas
OK4,317,117721,40998,117721,0.250145641,Tom Cole
OK5,318,95632,57790,95632,0.270132488,Kendra Horn
OR1,319,96245,160038,160038,0.562691397,Suzanne Bonamici
OR2,320,202374,73785,202374,0.656165277,Greg Walden
OR3,321,57424,211748,211748,0.629000091,Earl Blumenauer
OR4,322,116534,181624,181624,0.685042193,Peter DeFazio
OR5,323,110332,150944,150944,0.588480282,Kurt Schrader
PA1,324,27193,131248,131248,0.424807202,Brian Fitzpatrick
PA10,333,112851,44737,112851,0.497887757,Scott Perry
PA11,334,122464,62228,122464,0.450998232,Lloyd Smucker
PA12,335,127993,87928,127993,0.514558622,Tom [ Resigned ] Marino
PA13,336,60549,123601,123601,0.506254401,John Joyce
PA14,337,0,148351,148351,0.525776951,Guy Reschenthaler
PA15,338,128285,0,128285,0.55977069,Glenn Thompson
PA16,339,101722,74513,101722,0.566578068,Mike Kelly
PA17,340,71371,93680,93680,0.517588455,Conor Lamb
PA18,341,166076,0,166076,0.61550151,Michael Doyle
PA2,325,25397,181141,181141,0.737069899,Brendan Boyle
PA3,326,113859,73931,113859,0.762877012,Dwight Evans
PA4,327,147090,50250,147090,0.458928659,Madeleine Dean
PA5,328,115018,65839,115018,0.57572692,Mary Gay Scanlon
PA6,329,119643,92901,119643,0.408824468,Chrissy Houlahan
PA7,330,145869,89256,145869,0.491983303,Susan Wild
PA8,331,137731,84767,137731,0.511986249,Matt Cartwright
PA9,332,110094,63223,110094,0.467615209,Daniel Meuser
RI1,342,58877,87060,87060,0.651701398,David Cicilline
RI2,343,63844,105716,105716,0.610499907,Jim Langevin
SC1,344,119392,0,119392,0.714702809,Joe Cunningham
SC2,345,121649,68719,121649,0.679959203,Joe Wilson
SC3,346,116741,47181,116741,0.690091231,Jeff Duncan
SC4,347,126452,0,126452,0.68643447,William Timmons
SC5,348,103078,71985,103078,0.678234917,Ralph Norman
SC6,349,44311,125747,125747,0.740178834,James E. Clyburn
SC7,350,102833,68576,102833,0.773402095,Tom Rice
SD0,351,183834,92485,183834,0.430028591,Dusty Johnson
TN1,352,115533,0,115533,0.740782104,Phil Roe
TN2,353,120883,37612,120883,0.694781153,Tim Burchett
TN3,354,97344,53983,97344,0.685740784,Chuck Fleischmann
TN4,355,84815,51357,84815,0.631451015,Scott DesJarlais
TN5,356,55078,96148,96148,0.655470998,Jim Cooper
TN6,357,115231,37232,115231,0.656636539,John W. Rose
TN7,358,110534,42280,110534,0.587413683,Mark Green
TN8,359,122255,42433,122255,0.604092211,David Kustoff
TN9,360,27173,87376,87376,0.703350198,Steve Cohen
TX1,361,115084,33476,115084,0.312387633,Louie Gohmert
TX10,370,109726,60243,109726,0.20945265,Michael T. McCaul
TX11,371,107939,0,107939,0.294791084,K. Michael Conaway
TX12,372,113186,41757,113186,0.258582665,Kay Granger
TX13,373,110842,16822,110842,0.281787382,Mac Thornberry
TX14,374,90116,52545,90116,0.283400293,Randy Weber
TX15,375,39016,48708,48708,0.309967019,Vicente Gonzalez
TX16,376,21324,49338,49338,0.341911301,Veronica Escobar
TX17,377,85807,43049,85807,0.306113357,Bill Flores
TX18,378,26249,76097,76097,0.356037265,Sheila Jackson Lee
TX19,379,89326,21325,89326,0.312958664,Jodey Arrington
TX2,362,101936,44462,101936,0.220640863,Dan Crenshaw
TX20,380,0,66554,66554,0.344129012,Joaquin Castro
TX21,381,135660,0,135660,0.283949333,Chip Roy
TX22,382,100861,47844,100861,0.166430476,Pete Olson
TX23,383,57459,55037,57459,0.273666166,Will Hurd
TX24,384,93712,46548,93712,0.249459887,Kenny Marchant
TX25,385,107120,64463,107120,0.231993013,Roger Williams
TX26,386,116944,0,116944,0.162312748,Michael Burgess
TX27,387,83342,44152,83342,0.28368586,Michael Cloud
TX28,388,0,62508,62508,0.304617006,Henry Cuellar
TX29,389,0,41321,41321,0.371184246,Sylvia Garcia
TX3,363,113404,0,113404,0.169402517,Van Taylor
TX30,390,0,93041,93041,0.345013358,Eddie Bernice Johnson
TX31,391,91607,45715,91607,0.208623908,John Carter
TX32,392,96495,55325,96495,0.253290793,Colin Allred
TX33,393,0,43769,43769,0.365604793,Marc Veasey
TX34,394,30811,47503,47503,0.33275691,Filemon Vela
TX35,395,32040,60124,60124,0.341463701,Lloyd Doggett
TX36,396,101663,29543,101663,0.267406239,Brian Babin
TX4,364,115085,0,115085,0.258325672,John Ratcliffe
TX5,365,88998,0,88998,0.31645641,Lance Gooden
TX6,366,92334,55027,92334,0.260475946,Ron Wright
TX7,367,90606,49478,90606,0.26596246,Lizzie Fletcher
TX8,368,125066,0,125066,0.238228697,Kevin Brady
TX9,369,0,78109,78109,0.347652084,Al Green
UT1,397,84231,36422,84231,0.618306901,Rob Bishop
UT2,398,88915,47585,88915,0.692426586,Chris Stewart
UT3,399,102952,32059,102952,0.61833663,John R. Curtis
UT4,400,74936,67425,74936,0.650506626,Ben McAdams
VA1,402,131861,72059,131861,0.524391159,Robert J. Wittman
VA10,411,125914,89957,125914,0.431261116,Jennifer Wexton
VA11,412,75796,106780,106780,0.510193314,"Gerald E. ""Gerry"" Connolly"
VA2,403,101558,71178,101558,0.672573408,Elaine Luria
VA3,404,0,139197,139197,0.732694093,Robert C. Scott
VA4,405,120684,75270,120684,0.647153674,A. Donald McEachin
VA5,406,124735,73482,124735,0.649847432,Denver Riggleman
VA6,407,133898,0,133898,0.658433067,Ben Cline
VA7,408,148026,89914,148026,0.585262914,Abigail Spanberger
VA8,409,63810,128102,128102,0.604339148,Don Beyer
VA9,410,117465,0,117465,0.716981978,Morgan Griffith
VT0,401,59432,123349,123349,0.598384038,Peter Welch
WA1,413,101428,124151,124151,0.395408978,Suzan DelBene
WA10,422,82213,99279,99279,0.576453466,Denny Heck
WA2,414,79518,122173,122173,0.530366867,Rick Larsen
WA3,415,124796,78018,124796,0.554912241,Jaime Herrera Beutler
WA4,416,77772,0,77772,0.528749844,Dan Newhouse
WA5,417,135470,87772,135470,0.610125635,Cathy McMorris Rodgers
WA6,418,83025,141265,141265,0.602387929,Derek Kilmer
WA7,419,47921,203954,203954,0.571852441,Pramila Jayapal
WA8,420,125741,73003,125741,0.431767968,Kim Schrier
WA9,421,48662,118132,118132,0.52106132,Adam Smith
WI1,426,182316,105552,182316,0.606941312,Bryan Steil
WI2,427,103619,224920,224920,0.643132556,Mark Pocan
WI3,428,119540,155368,155368,0.612884111,Ron Kind
WI4,429,68490,179045,179045,0.762421649,Gwen Moore
WI5,430,231160,101190,231160,0.620635522,F. James Sensenbrenner
WI6,431,169767,122212,169767,0.629135925,Glenn Grothman
WI7,432,169891,112949,169891,0.612912543,Sean P. Duffy
WI8,433,188553,101345,188553,0.627141974,Mike Gallagher
WV1,423,91843,51842,91843,0.621149211,David McKinley
WV2,424,72042,67210,72042,0.601623003,Alex Mooney
WV3,425,77263,62418,77263,0.654679551,Carol Miller
WY0,434,113038,37803,113038,0.330057656,Liz Cheney